# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	268066	268581	-	JJLLKI_00881		Sel1 repeat family protein	SO:0001217, UniRef:UniRef50_A0A738FP27, UniRef:UniRef90_A0A738FP27
contig_2	cds	269106	270470	+	JJLLKI_00882		Major facilitator superfamily (MFS) profile domain-containing protein	RefSeq:WP_077463680.1, SO:0001217, UniParc:UPI000313A1A0, UniRef:UniRef100_A0A5I4TZS1, UniRef:UniRef50_P77726, UniRef:UniRef90_A9MM35
contig_2	cds	270517	271008	-	JJLLKI_00883	yajQ	YajQ family cyclic di-GMP-binding protein	COG:COG1666, COG:T, GO:0000166, GO:0005829, KEGG:K09767, RefSeq:WP_001138913.1, SO:0001217, UniParc:UPI00004F795D, UniRef:UniRef100_Q8ZRC9, UniRef:UniRef50_P0A8E7, UniRef:UniRef90_Q8ZRC9
contig_2	cds	271134	272045	+	JJLLKI_00884	panE	2-dehydropantoate 2-reductase	EC:1.1.1.169, GO:0005737, GO:0008677, GO:0015940, GO:0050661, RefSeq:WP_000705819.1, SO:0001217, UniParc:UPI0002EE1D98, UniRef:UniRef100_A0A3U9ZN62, UniRef:UniRef50_P0A9J4, UniRef:UniRef90_P37402
contig_2	cds	272008	272598	+	JJLLKI_00885	yajL	protein deglycase YajL	EC:3.1.2.-, EC:3.5.1.-, EC:3.5.1.124, GO:0005737, GO:0006281, GO:0036524, RefSeq:WP_001275809.1, SO:0001217, UniParc:UPI000005A228, UniRef:UniRef100_A0A5X3N7Q5, UniRef:UniRef50_Q46948, UniRef:UniRef90_Q46948
contig_2	cds	272695	273504	-	JJLLKI_00886	phnX	phosphonoacetaldehyde hydrolase	EC:3.11.1.1, GO:0000287, GO:0005829, GO:0006281, GO:0008967, GO:0019700, GO:0050194, RefSeq:WP_001675137.1, SO:0001217, UniParc:UPI00016A0C23, UniRef:UniRef100_B5QTI0, UniRef:UniRef50_Q9I433, UniRef:UniRef90_Q7ZAP3
contig_2	cds	273514	274617	-	JJLLKI_00887	phnW	2-aminoethylphosphonate--pyruvate transaminase	EC:2.6.1.37, GO:0019700, GO:0047304, RefSeq:WP_001577468.1, SO:0001217, UniParc:UPI0002306594, UniRef:UniRef100_A0A6C8GST6, UniRef:UniRef50_P96060, UniRef:UniRef90_P96060
contig_2	cds	274757	275476	+	JJLLKI_00888	phnR	phosphonate utilization transcriptional regulator PhnR	GO:0003677, GO:0003700, GO:0006355, GO:0045892, RefSeq:WP_023206789.1, SO:0001217, UniParc:UPI0003BDAB37, UniRef:UniRef100_A0A5I4U0E0, UniRef:UniRef50_Q7CR30, UniRef:UniRef90_Q7CR30
contig_2	cds	275674	276687	+	JJLLKI_00889	phnS	2-aminoethylphosphonate ABC transporter substrate-binding protein	GO:0009897, GO:0015888, GO:0030288, GO:0030975, GO:0030976, GO:0033223, GO:0033225, GO:0033226, GO:0055052, KEGG:K11081, RefSeq:WP_077463682.1, SO:0001217, UniParc:UPI0009850A3A, UniRef:UniRef100_A0A5I4U2I6, UniRef:UniRef50_P96062, UniRef:UniRef90_P96062
contig_2	cds	276693	277802	+	JJLLKI_00890	phnT	2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT	GO:0005524, GO:0009898, GO:0016887, GO:0022857, GO:0033223, GO:0033225, GO:0043190, GO:0055052, RefSeq:WP_001577462.1, SO:0001217, UniParc:UPI000230658F, UniRef:UniRef100_A0A6C8GSV3, UniRef:UniRef50_P96063, UniRef:UniRef90_P96063
contig_2	cds	277805	278665	+	JJLLKI_00891	phnU	2-aminoethylphosphonate ABC transporter permease subunit	GO:0005886, GO:0016020, GO:0033223, GO:0033225, GO:0055085, KEGG:K11083, RefSeq:WP_000052716.1, SO:0001217, UniParc:UPI00000D0153, UniRef:UniRef100_P96064, UniRef:UniRef50_P96064, UniRef:UniRef90_P96064
contig_2	cds	278668	279465	+	JJLLKI_00892	phnV	2-aminoethylphosphonate ABC transport system, membrane component PhnV	GO:0005886, GO:0016020, GO:0033223, GO:0033225, GO:0055085, RefSeq:WP_000909793.1, SO:0001217, UniParc:UPI00016BE880, UniRef:UniRef100_A0A3Z3G8D1, UniRef:UniRef50_P96065, UniRef:UniRef90_P96065
contig_2	cds	279509	280957	-	JJLLKI_00893	thiI	tRNA sulfurtransferase	COG:COG0607, COG:P, EC:2.8.1.4, GO:0000049, GO:0002937, GO:0004810, GO:0005524, GO:0005829, GO:0009228, GO:0009229, GO:0052837, GO:0140741, KEGG:K03151, RefSeq:WP_000668652.1, SO:0001217, UniParc:UPI00016A0C1D, UniRef:UniRef100_B5FKT0, UniRef:UniRef50_P77718, UniRef:UniRef90_P77718
contig_2	cds	281167	281409	+	JJLLKI_00894	xseB	exodeoxyribonuclease VII small subunit	COG:COG1722, COG:L, EC:3.1.11.6, GO:0005829, GO:0006308, GO:0008855, GO:0009318, RefSeq:WP_001124944.1, SO:0001217, UniParc:UPI000005A231, UniRef:UniRef100_P67458, UniRef:UniRef50_P0A8G9, UniRef:UniRef90_P67458
contig_2	cds	281410	282309	+	JJLLKI_00895	ispA	(2E,6E)-farnesyl diphosphate synthase	EC:2.5.1.10, GO:0008299, RefSeq:WP_000348074.1, SO:0001217, UniParc:UPI00000CCEBB, UniRef:UniRef100_Q8ZRD0, UniRef:UniRef50_K8A1N7, UniRef:UniRef90_Q8ZRD0
contig_2	cds	282333	284195	+	JJLLKI_00896	dxs	1-deoxy-D-xylulose-5-phosphate synthase	COG:COG1154, COG:HI, EC:2.2.1.7, GO:0000287, GO:0005737, GO:0005829, GO:0008615, GO:0008661, GO:0009228, GO:0009240, GO:0016114, GO:0019288, GO:0030976, GO:0052865, KEGG:K01662, RefSeq:WP_000006777.1, SO:0001217, UniParc:UPI0000162251, UniRef:UniRef100_Q8ZRD1, UniRef:UniRef50_P77488, UniRef:UniRef90_P77488
contig_2	cds	284252	285226	+	JJLLKI_00897	yajO	1-deoxyxylulose-5-phosphate synthase YajO	COG:COG0667, COG:HR, EC:1.1.-.-, GO:0005829, GO:0006772, GO:0016491, GO:1902767, RefSeq:WP_001199855.1, SO:0001217, UniParc:UPI0002306588, UniRef:UniRef100_A0A619WIG5, UniRef:UniRef50_P77735, UniRef:UniRef90_P77735
contig_2	cds	285330	285845	-	JJLLKI_00898	pgpA	phosphatidylglycerophosphatase A	EC:3.1.3.27, GO:0006629, GO:0008962, KEGG:K01095, RefSeq:WP_000154063.1, SO:0001217, UniParc:UPI000005A235, UniRef:UniRef100_Q7CR35, UniRef:UniRef50_P18200, UniRef:UniRef90_Q7CR35
contig_2	cds	285823	286803	-	JJLLKI_00899	thiL	thiamine-phosphate kinase	EC:2.7.4.16, GO:0009030, GO:0009228, RefSeq:WP_000752133.1, SO:0001217, UniParc:UPI00004F7951, UniRef:UniRef100_A0A3U7XKD1, UniRef:UniRef50_A0A068QP23, UniRef:UniRef90_A0A756PEV3
contig_2	cds	286882	287301	-	JJLLKI_00900	nusB	transcription antitermination factor NusB	GO:0003723, GO:0005829, GO:0006353, GO:0031564, KEGG:K03625, RefSeq:WP_000801129.1, SO:0001217, UniParc:UPI0000130A66, UniRef:UniRef100_A8AK38, UniRef:UniRef50_P0A780, UniRef:UniRef90_A8AK38
contig_2	cds	287322	287792	-	JJLLKI_00901	ribE	6,7-dimethyl-8-ribityllumazine synthase	EC:2.5.1.78, GO:0000906, GO:0005829, GO:0009231, GO:0009349, KEGG:K00794, RefSeq:WP_001021372.1, SO:0001217, UniParc:UPI000005A238, UniRef:UniRef100_P66038, UniRef:UniRef50_P66038, UniRef:UniRef90_P66038
contig_2	cds	287881	288984	-	JJLLKI_00902	ribD	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	EC:1.1.1.193, EC:3.5.4.26, GO:0008270, GO:0008703, GO:0008835, GO:0050661, KEGG:K11752, RefSeq:WP_001150218.1, SO:0001217, UniParc:UPI000048EEDC, UniRef:UniRef100_A0A3U7XKC9, UniRef:UniRef50_P25539, UniRef:UniRef90_Q8ZRD4
contig_2	cds	288988	289437	-	JJLLKI_00903	nrdR	transcriptional regulator NrdR	COG:COG1327, COG:K, GO:0003677, GO:0005524, GO:0006355, GO:0008270, GO:0045892, GO:0140110, RefSeq:WP_000543533.1, SO:0001217, UniParc:UPI000005A23A, UniRef:UniRef100_P0A2M1, UniRef:UniRef50_P0A8D0, UniRef:UniRef90_P0A8D0
contig_2	cds	289589	290128	+	JJLLKI_00904		DUF3251 domain-containing protein	RefSeq:WP_001577417.1, SO:0001217, UniParc:UPI00023060A2, UniRef:UniRef100_A0A6C8GSU1, UniRef:UniRef50_P46122, UniRef:UniRef90_A0A659S1R6
contig_2	cds	290428	291291	+	JJLLKI_00905	tsx	Nucleoside-specific channel-forming protein Tsx	GO:0005337, GO:0006811, GO:0009279, GO:0015288, GO:0046930, KEGG:K05517, RefSeq:WP_000752021.1, SO:0001217, UniParc:UPI000005A23C, UniRef:UniRef100_P0A261, UniRef:UniRef50_P0A927, UniRef:UniRef90_P0A261
contig_2	cds	291408	291866	-	JJLLKI_00906	tnp	IS200/IS605 family IS200F transposase	COG:COG1943, COG:X, GO:0004803, IS:IS200F, RefSeq:WP_077463686.1, SO:0001217, UniParc:UPI00098608CD, UniRef:UniRef100_A0A5I4U0F9, UniRef:UniRef50_A0AAX2HXH2, UniRef:UniRef90_A0AAX2HXH2
contig_2	ncRNA	291876	291999	-	JJLLKI_00907	STnc490	STnc490 Hfq binding RNA	RFAM:RF01405, SO:0000655
contig_2	cds	292087	292194	-	JJLLKI_00908		Small toxic polypeptide LdrA/LdrC	KEGG:K18862, RefSeq:WP_000176312.1, SO:0001217, UniParc:UPI0001603FDB, UniRef:UniRef100_A0A5V8FPP4, UniRef:UniRef50_A0A5V8FPP4, UniRef:UniRef90_A0A5V8FPP4
contig_2	ncRNA	292243	292307	+	JJLLKI_00909	rdlD	rdlD antitoxin	RFAM:RF01813, SO:0000655
contig_2	cds	292632	292979	-	JJLLKI_00910	yajD	HNH nuclease YajD	BlastRules:WP_000974813, EC:3.1.-.-, GO:0003676, GO:0004519, GO:0005829, GO:0008270, RefSeq:WP_000974818.1, SO:0001217, UniParc:UPI000005A23E, UniRef:UniRef100_P0A1S8, UniRef:UniRef50_P0AAQ2, UniRef:UniRef90_P0AAQ2
contig_2	cds	293149	293841	-	JJLLKI_00911		DNA-binding transcriptional regulator	RefSeq:WP_000198318.1, SO:0001217, UniParc:UPI000005A23F, UniRef:UniRef100_Q7CR37, UniRef:UniRef50_A0A7U2ZPF0, UniRef:UniRef90_A0A2S4S0Q5
contig_2	cds	293867	294232	-	JJLLKI_00912		VOC domain-containing protein	RefSeq:WP_001577399.1, SO:0001217, UniParc:UPI000230609E, UniRef:UniRef100_A0A5Y3GN31, UniRef:UniRef50_Q7CR38, UniRef:UniRef90_Q7CR38
contig_2	cds	294377	295348	-	JJLLKI_00913	secF	Protein translocase subunit SecF	COG:COG0341, COG:U, GO:0005886, GO:0006605, GO:0015031, GO:0015450, GO:0016020, GO:0031522, GO:0032978, GO:0043952, GO:0065002, RefSeq:WP_000046629.1, SO:0001217, UniParc:UPI000005A241, UniRef:UniRef100_Q7CR39, UniRef:UniRef50_P0AG93, UniRef:UniRef90_P0AG93
contig_2	cds	295359	297173	-	JJLLKI_00914	secD	Protein translocase subunit SecD	COG:COG0342, COG:U, GO:0005886, GO:0006605, GO:0015450, GO:0043952, GO:0065002, SO:0001217, UniParc:UPI000048EEE2, UniRef:UniRef100_Q9ZFF8, UniRef:UniRef50_P0AG90, UniRef:UniRef90_P0AG90
contig_2	cds	297234	297566	-	JJLLKI_00915	yajC	preprotein translocase subunit YajC	COG:COG1862, COG:U, GO:0005886, GO:0009306, GO:0015031, GO:0015450, KEGG:K03210, RefSeq:WP_000007628.1, SO:0001217, UniParc:UPI000005A243, UniRef:UniRef100_Q7CR40, UniRef:UniRef50_P0ADZ7, UniRef:UniRef90_P0ADZ7
contig_2	cds	297589	298716	-	JJLLKI_00916	tgt	tRNA guanosine(34) transglycosylase Tgt	COG:COG0343, COG:J, EC:2.4.2.29, GO:0002099, GO:0005737, GO:0005829, GO:0006400, GO:0008479, GO:0008616, GO:0046872, GO:0101030, KEGG:K00773, RefSeq:WP_000667305.1, SO:0001217, UniParc:UPI0000136CFA, UniRef:UniRef100_Q8ZRD8, UniRef:UniRef50_P0A847, UniRef:UniRef90_P0A847
contig_2	cds	298913	299977	-	JJLLKI_00917	queA	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	COG:COG0809, COG:J, EC:2.4.99.17, GO:0002099, GO:0005737, GO:0006400, GO:0008616, GO:0051075, KEGG:K07568, RefSeq:WP_001266525.1, SO:0001217, UniParc:UPI00016A211D, UniRef:UniRef100_A0A603N1H7, UniRef:UniRef50_P0A7F9, UniRef:UniRef90_P0A7F9
contig_2	cds	300071	300652	+	JJLLKI_00918	acpH	ACP phosphodiesterase	EC:3.1.4.14, GO:0006633, GO:0008770, KEGG:K08682, RefSeq:WP_001009858.1, SO:0001217, UniParc:UPI000005A246, UniRef:UniRef100_Q7CR41, UniRef:UniRef50_P21515, UniRef:UniRef90_Q7CR41
contig_2	cds	300862	301464	+	JJLLKI_00919		Thioredoxin domain-containing protein	RefSeq:WP_000244731.1, SO:0001217, UniParc:UPI000005A247, UniRef:UniRef100_Q7CR42, UniRef:UniRef50_A0A8D8M6F8, UniRef:UniRef90_A9MM60
contig_2	cds	301536	303353	-	JJLLKI_00920	malZ	maltodextrin glucosidase	EC:3.2.1.20, GO:0004558, GO:0005975, RefSeq:WP_077463688.1, SO:0001217, UniParc:UPI0009859E7E, UniRef:UniRef100_A0A5I4TZP3, UniRef:UniRef50_W9B4E7, UniRef:UniRef90_A0A379SAI5
contig_2	cds	303515	304885	-	JJLLKI_00921	proY	proline-specific permease ProY	COG:COG1113, COG:E, GO:0003333, GO:0005886, GO:0006865, GO:0015171, GO:0016020, GO:0055085, RefSeq:WP_001555879.1, SO:0001217, UniParc:UPI0000132330, UniRef:UniRef100_P37460, UniRef:UniRef50_Q88CZ8, UniRef:UniRef90_P0AAE2
contig_2	cds	304960	306279	-	JJLLKI_00922	brnQ	branched-chain amino acid transporter carrier protein BrnQ	COG:COG1114, COG:E, GO:0005304, GO:0005886, GO:0015188, GO:0015190, GO:0015818, GO:0015820, GO:0015829, KEGG:K03311, RefSeq:WP_000149625.1, SO:0001217, UniParc:UPI000005A24A, UniRef:UniRef100_P0A1W8, UniRef:UniRef50_P0A1W8, UniRef:UniRef90_P0A1W8
contig_2	cds	306688	307983	-	JJLLKI_00923	phoR	phosphate regulon sensor histidine kinase PhoR	EC:2.7.13.3, GO:0000155, GO:0000160, GO:0004721, GO:0005524, GO:0005886, GO:0006355, GO:0006817, GO:0016020, GO:0016036, GO:0016310, RefSeq:WP_000893642.1, SO:0001217, UniParc:UPI000169FF4D, UniRef:UniRef100_A0A637D0G4, UniRef:UniRef50_P08400, UniRef:UniRef90_P08400
contig_2	cds	308053	308742	-	JJLLKI_00924	phoB	phosphate response regulator transcription factor PhoB	COG:COG0745, COG:TK, GO:0000156, GO:0000976, GO:0005829, GO:0006355, GO:0006817, GO:0032993, RefSeq:WP_000113921.1, SO:0001217, UniParc:UPI000005A24C, UniRef:UniRef100_Q7CR43, UniRef:UniRef50_P45605, UniRef:UniRef90_P45605
contig_2	cds	308957	310159	+	JJLLKI_00925	sbcD	exonuclease subunit SbcD	EC:3.1.11.-, GO:0004527, GO:0006260, GO:0006310, RefSeq:WP_077463690.1, SO:0001217, UniParc:UPI000985BC9E, UniRef:UniRef100_A0A5I4U1S9, UniRef:UniRef50_P0AG76, UniRef:UniRef90_Q8ZRE2
contig_2	cds	310156	313296	+	JJLLKI_00926	sbcC	exonuclease subunit SbcC	EC:3.1.11.-, GO:0004527, GO:0006260, RefSeq:WP_001577379.1, SO:0001217, UniParc:UPI0002306095, UniRef:UniRef100_A0A3U0CW88, UniRef:UniRef50_A0A2X2X755, UniRef:UniRef90_A9MMR5
contig_2	cds	313469	314641	+	JJLLKI_00927	araJ	MFS transporter AraJ	GO:0022857, GO:0055085, KEGG:K08156, RefSeq:WP_000755616.1, SO:0001217, UniParc:UPI000190A736, UniRef:UniRef100_A0A5W2AVY3, UniRef:UniRef50_P23910, UniRef:UniRef90_A9MMR6
contig_2	cds	314661	315569	-	JJLLKI_00928	mak	fructokinase	EC:2.7.1.4, RefSeq:WP_077463692.1, SO:0001217, UniParc:UPI000987BB41, UniRef:UniRef100_A0A5I4U0I4, UniRef:UniRef50_P23917, UniRef:UniRef90_A0A756ZN28
contig_2	cds	315695	316606	+	JJLLKI_00929	rdgC	recombination-associated protein RdgC	COG:COG2974, COG:L, GO:0000018, GO:0003690, GO:0005737, GO:0006310, GO:0043590, KEGG:K03554, RefSeq:WP_000964305.1, SO:0001217, UniParc:UPI0000133494, UniRef:UniRef100_P65973, UniRef:UniRef50_P36767, UniRef:UniRef90_P65973
contig_2	cds	316649	316933	-	JJLLKI_00930	ppnP	pyrimidine/purine nucleoside phosphorylase	COG:COG3123, COG:F, EC:2.4.2.1, EC:2.4.2.2, GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047847, GO:0047975, KEGG:K09913, RefSeq:WP_000941953.1, SO:0001217, UniParc:UPI000005A251, UniRef:UniRef100_B5EWS3, UniRef:UniRef50_P0C037, UniRef:UniRef90_Q8ZRE7
contig_2	cds	317004	317681	-	JJLLKI_00931	aroM	AroM protein	KEGG:K14591, RefSeq:WP_001276437.1, SO:0001217, UniParc:UPI00000CCEAF, UniRef:UniRef100_Q8ZRE8, UniRef:UniRef50_P0AE28, UniRef:UniRef90_A0A379WES1
contig_2	cds	317932	318123	-	JJLLKI_00932	yaiA	Uncharacterized protein YaiA	RefSeq:WP_001143161.1, SO:0001217, UniParc:UPI000005A252, UniRef:UniRef100_A0A625KQQ3, UniRef:UniRef50_P0AAN5, UniRef:UniRef90_P0AAN5
contig_2	cds	318150	318695	-	JJLLKI_00933	aroL	shikimate kinase AroL	EC:2.7.1.71, GO:0000287, GO:0004765, GO:0005524, GO:0005829, GO:0008652, GO:0009073, GO:0009423, RefSeq:WP_000983572.1, SO:0001217, UniParc:UPI0002306091, UniRef:UniRef100_A0A623MDX6, UniRef:UniRef50_P0A6E1, UniRef:UniRef90_P63603
contig_2	cds	318880	319335	-	JJLLKI_00934	yaiI	YaiI/YqxD family protein	KEGG:K09768, RefSeq:WP_000158137.1, SO:0001217, UniParc:UPI000005A254, UniRef:UniRef100_P67334, UniRef:UniRef50_P0A8D3, UniRef:UniRef90_P67334
contig_2	cds	319475	320284	+	JJLLKI_00935	proC	pyrroline-5-carboxylate reductase	COG:COG0345, COG:E, EC:1.5.1.2, GO:0004735, GO:0005737, GO:0006561, GO:0055129, KEGG:K00286, RefSeq:WP_000412193.1, SO:0001217, UniParc:UPI00004F7940, UniRef:UniRef100_A0A618AIK4, UniRef:UniRef50_P0A9L8, UniRef:UniRef90_P0A9L8
contig_2	cds	320299	321411	-	JJLLKI_00936	adrA	diguanylate cyclase AdrA	EC:2.7.7.65, RefSeq:WP_000484083.1, SO:0001217, UniParc:UPI00016C144D, UniRef:UniRef100_A0A5W5RKJ1, UniRef:UniRef50_P0AAP1, UniRef:UniRef90_A0A6D2GDR1
contig_2	cds	321503	321823	-	JJLLKI_00937	psiF	phosphate starvation-inducible protein PsiF	RefSeq:WP_000705162.1, SO:0001217, UniParc:UPI000048EEF2, UniRef:UniRef100_A0A622LCE0, UniRef:UniRef50_P0AFM4, UniRef:UniRef90_A8AK80
contig_2	cds	322172	322432	-	JJLLKI_00938	iraP	anti-adapter protein IraP	GO:0005737, GO:0009267, RefSeq:WP_001518423.1, SO:0001217, UniParc:UPI000048EEF3, UniRef:UniRef100_Q7CR46, UniRef:UniRef50_P0AAN9, UniRef:UniRef90_Q7CR46
contig_2	cds	322729	323940	-	JJLLKI_00939		Major facilitator superfamily (MFS) profile domain-containing protein	KEGG:K08161, RefSeq:WP_000446768.1, SO:0001217, UniParc:UPI00000CCEAC, UniRef:UniRef100_Q8ZRF1, UniRef:UniRef50_A8AK88, UniRef:UniRef90_A8AK88
contig_2	cds	324109	324792	-	JJLLKI_00940		Extensin-like C-terminal domain-containing protein	SO:0001217, UniParc:UPI000169E687, UniRef:UniRef100_A0A6C8GRG0, UniRef:UniRef50_Q8Z8Z5, UniRef:UniRef90_Q8Z8Z5
contig_2	cds	324882	325994	+	JJLLKI_00941	ddlA	D-alanine--D-alanine ligase	EC:6.3.2.4, GO:0005524, GO:0005829, GO:0008360, GO:0008716, GO:0009252, GO:0046872, GO:0071555, SO:0001217, UniParc:UPI000175C626, UniRef:UniRef100_P0A1F0, UniRef:UniRef50_P0A1F0, UniRef:UniRef90_P0A1F0
contig_2	cds	326020	326235	-	JJLLKI_00942		DUF2754 domain-containing protein	RefSeq:WP_001239243.1, SO:0001217, UniParc:UPI00000CCEAA, UniRef:UniRef100_Q8ZRF3, UniRef:UniRef50_B7LMK5, UniRef:UniRef90_A0A3F3IE59
contig_2	cds	326503	326811	+	JJLLKI_00943	yaiY	Inner membrane protein YaiY	RefSeq:WP_000763139.1, SO:0001217, UniParc:UPI000005A25D, UniRef:UniRef100_Q7CR47, UniRef:UniRef50_A0A090V0W9, UniRef:UniRef90_A9MMT1
contig_2	cds	326849	327943	-	JJLLKI_00944	yaiW	surface-exposed outer membrane lipoprotein YaiW	BlastRules:WP_000092067, BlastRules:WP_001271421, RefSeq:WP_001271421.1, SO:0001217, UniParc:UPI00000CCEA9, UniRef:UniRef100_Q8ZRF4, UniRef:UniRef50_A0AAC8QR78, UniRef:UniRef90_A9MMT2
contig_2	cds	327958	329178	-	JJLLKI_00945	sbmA	peptide antibiotic transporter SbmA	GO:0015833, GO:1904680, KEGG:K17938, RefSeq:WP_000477024.1, SO:0001217, UniParc:UPI00000CCEA8, UniRef:UniRef100_Q8ZRF5, UniRef:UniRef50_Q08120, UniRef:UniRef90_Q8ZRF5
contig_2	cds	329525	330682	+	JJLLKI_00946	ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	COG:COG1680, COG:V, EC:3.4.-.-, GO:0004175, GO:0004180, GO:0005886, GO:0006508, GO:0008360, GO:0008658, GO:0009253, GO:0071555, RefSeq:WP_000830783.1, SO:0001217, UniParc:UPI000195DA68, UniRef:UniRef100_A0A3Y1U736, UniRef:UniRef50_P0AD70, UniRef:UniRef90_P0AD70
contig_2	cds	330727	331350	-	JJLLKI_00947	iprA	hydrogen peroxide resistance inhibitor IprA	GO:0003700, GO:0005829, GO:0006979, RefSeq:WP_000950242.1, SO:0001217, UniParc:UPI00000CCEA6, UniRef:UniRef100_Q8ZRF7, UniRef:UniRef50_Q8ZRF7, UniRef:UniRef90_Q8ZRF7
contig_2	cds	331436	334465	-	JJLLKI_00948	ehaB	autotransporter adhesin EhaB	BlastRules:WP_000556401, RefSeq:WP_077463696.1, SO:0001217, UniParc:UPI000317EC5C, UniRef:UniRef100_A0A5I4U2N3, UniRef:UniRef50_A0A1B7JIK3, UniRef:UniRef90_B5R5W4
contig_2	cds	334978	335952	+	JJLLKI_00949	hemB	porphobilinogen synthase	COG:COG0113, COG:H, EC:4.2.1.24, GO:0004655, GO:0005829, GO:0006782, GO:0008270, GO:0033014, KEGG:K01698, RefSeq:WP_000130724.1, SO:0001217, UniParc:UPI000005A263, UniRef:UniRef100_Q7CR48, UniRef:UniRef50_P0ACB2, UniRef:UniRef90_P0ACB2
contig_2	cds	336056	337942	-	JJLLKI_00950	prpE	propionate--CoA ligase	EC:6.2.1.17, GO:0005524, GO:0019629, GO:0050218, KEGG:K01908, RefSeq:WP_001577358.1, SO:0001217, UniParc:UPI000230A8D3, UniRef:UniRef100_A0A6C8GT26, UniRef:UniRef50_P55912, UniRef:UniRef90_P77495
contig_2	cds	337983	339434	-	JJLLKI_00951	prpD	bifunctional 2-methylcitrate dehydratase/aconitate hydratase	BlastRules:WP_001272709, EC:4.2.1.79, GO:0003994, GO:0006099, GO:0019629, GO:0019679, GO:0047547, GO:0051537, KEGG:K01720, RefSeq:WP_000107070.1, SO:0001217, UniParc:UPI000169E829, UniRef:UniRef100_A0A5X2AEV1, UniRef:UniRef50_P74840, UniRef:UniRef90_P74840
contig_2	cds	339474	340643	-	JJLLKI_00952	prpC	2-methylcitrate synthase	EC:2.3.3.16, EC:2.3.3.5, GO:0004108, GO:0005737, GO:0005975, GO:0006099, GO:0019679, GO:0036440, GO:0050440, KEGG:K01659, RefSeq:WP_000132746.1, SO:0001217, UniParc:UPI0001604126, UniRef:UniRef100_A0A5T4DP91, UniRef:UniRef50_Q56063, UniRef:UniRef90_Q56063
contig_2	cds	340766	341653	-	JJLLKI_00953	prpB	methylisocitrate lyase	EC:4.1.3.30, GO:0000287, GO:0019629, GO:0046421, GO:0140677, KEGG:K03417, RefSeq:WP_001577356.1, SO:0001217, UniParc:UPI000230A8D1, UniRef:UniRef100_A0A3Y8I6B6, UniRef:UniRef50_Q56062, UniRef:UniRef90_Q56062
contig_2	cds	341919	343544	+	JJLLKI_00954	prpR	propionate catabolism operon regulatory protein PrpR	GO:0000156, GO:0005524, GO:0005737, GO:0006355, GO:0016887, GO:0019629, GO:0043565, KEGG:K02688, RefSeq:WP_023231392.1, SO:0001217, UniParc:UPI0003BCFFAA, UniRef:UniRef100_A0A5U4PZ85, UniRef:UniRef50_P77743, UniRef:UniRef90_P74839
contig_2	cds	343680	343955	-	JJLLKI_00955	yahO	DUF1471 domain-containing protein	RefSeq:WP_000848026.1, SO:0001217, UniParc:UPI000005A269, UniRef:UniRef100_Q7CR49, UniRef:UniRef50_P75694, UniRef:UniRef90_Q7CR49
contig_2	cds	344187	344819	+	JJLLKI_00956	lysE	LysE family transporter	KEGG:K03329, RefSeq:WP_000433131.1, SO:0001217, UniParc:UPI00000CCEA4, UniRef:UniRef100_Q8ZRF9, UniRef:UniRef50_P75693, UniRef:UniRef90_A8AKC6
contig_2	cds	344860	346950	-	JJLLKI_00957	foxA	ferrioxamine B receptor FoxA	BlastRules:WP_001127727, GO:0009279, GO:0015344, GO:0038023, SO:0001217, UniRef:UniRef50_E1W8M5, UniRef:UniRef90_E1W8M5
contig_2	cds	347114	348118	-	JJLLKI_00958	araC	AraC family transcriptional regulator	RefSeq:WP_077463698.1, SO:0001217, UniParc:UPI0009876CAE, UniRef:UniRef100_A0A5I4U2P3, UniRef:UniRef50_A0A7H5A4H4, UniRef:UniRef90_A0A3S4K3Z8
contig_2	cds	348325	348456	-	JJLLKI_00959		DUF2474 domain-containing protein	RefSeq:WP_000241458.1, SO:0001217, UniParc:UPI000160412C, UniRef:UniRef100_A0A5Y2QGG6, UniRef:UniRef50_A0AA46L6U9, UniRef:UniRef90_A0A5Y2QGG6
contig_2	cds	348456	349466	-	JJLLKI_00960	cydB	cytochrome d ubiquinol oxidase subunit II	EC:7.1.1.-, GO:0016682, RefSeq:WP_001577348.1, SO:0001217, UniParc:UPI000230A8CC, UniRef:UniRef100_A0A6C8GRH4, UniRef:UniRef50_A0A2X4TY02, UniRef:UniRef90_A0A2X4TY02
contig_2	cds	349463	350866	-	JJLLKI_00961		Cytochrome BD2 subunit I	EC:7.1.1.7, KEGG:K00425, RefSeq:WP_000393711.1, SO:0001217, UniParc:UPI00000CCEA0, UniRef:UniRef100_Q8ZRG3, UniRef:UniRef50_Q8ZRG3, UniRef:UniRef90_Q8ZRG3
